Removed Pin From Net: NetName=+5 Pin=J4-1
Removed Pin From Net: NetName=+3.3 Pin=J4-2
Removed Pin From Net: NetName=GND Pin=J4-5
Removed Pin From Net: NetName=VREF_TGT Pin=J?-4
Removed Pin From Net: NetName=GND Pin=J?-6
Removed Pin From Net: NetName=GND Pin=J?-8
Removed Pin From Net: NetName=TDI Pin=J?-9
Removed Pin From Net: NetName=\RESET Pin=J?-11
Removed Pin From Net: NetName=GND Pin=Q1-2
Removed Pin From Net: NetName=NetD1_K Pin=Q1-3
Removed Pin From Net: NetName=GND Pin=TP1-1
Removed Pin From Net: NetName=VREF_TGT Pin=TP2-1
Removed Member From Class: ClassName=J-Link Cortex with VCOM Adapter Member=J4
Removed Member From Class: ClassName=J-Link Cortex with VCOM Adapter Member=J?
Removed Member From Class: ClassName=J-Link Cortex with VCOM Adapter Member=Q1
Removed Member From Class: ClassName=J-Link Cortex with VCOM Adapter Member=TP1
Removed Member From Class: ClassName=J-Link Cortex with VCOM Adapter Member=TP2
Change Component Footprint: Designator=J4 Old Footprint=70543-0109 - slim New Footprint=FTDI_6_HDR_TTL-232R
Change Component Comment : Designator=J4 Old Comment=5 contacts Male header New Comment=FTDI_6_DEVICE
Change component parameters: Designator = "J4" ("J4"); Footprint = "70543-0109 - slim"; UniqueID = "\OOUNWCUD\QACFOZXW" ("\OOUNWCUD\QACFOZXW")
Add component (AddParameter): Name = "Value"; Value = "0.01UF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Vol"; Value = "16V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage"; Value = "16V"; VariantName = "[No Variations]"
Added Component: Designator=C6(0603_CAP)
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer Website"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "Component Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3Description"; Value = "Octopart Link"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Description in Visual"; Value = "Cap SMT 0603 0.01UF 16V 10%  Cer X7R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Various"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer P/N"; Value = "Various"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "P/N"; Value = "CAP 0603 0.01UF 16V 10% X7R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PCB Package"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "10%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Type"; Value = "Ceramic X7R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Val"; Value = "0.01UF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "0.01UF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Vol"; Value = "16V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage"; Value = "16V"; VariantName = "[No Variations]"
Added Component: Designator=D3(SM0805AC)
Add component (AddParameter): Name = "Color"; Value = "Amber"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer Website"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "#https://www.bivar.com/#"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "Component Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "https://www.bivar.com/parts_content/Datasheets/SM0805AC.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3Description"; Value = "Octopart Link"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3URL"; Value = "#https://octopart.com/sm0805ac-bivar-5838577?r=sp#Specs"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Configuration"; Value = "Single"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Description in Visual"; Value = "Amber 607nm LED Indication - Discrete 2V 0805 (2012 Metric)"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lens Style"; Value = "Square"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lens Type"; Value = "Clear"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Bivar"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer P/N"; Value = "SM0805AC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Millicandela Rating"; Value = "6mcd"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "P/N"; Value = "SM0805AC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Class"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PCB Package"; Value = "0805"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Test Current"; Value = "20mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Viewing Angle"; Value = "130°"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Wavelength"; Value = "607nm"; VariantName = "[No Variations]"
Added Component: Designator=J2(FTSH-107-01-F-DV-K)
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Pinout Reference"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "https://www.st.com/resource/en/user_manual/dm00526767-stlinkv3set-debuggerprogrammer-for-stm8-and-stm32-stmicroelectronics.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet for Connector"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "http://suddendocs.samtec.com/catalog_english/ftsh_smt.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Finish"; Value = "Gold"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Description in Visual"; Value = "STDC14 Debug Connector (ST Micro extension to the Cortex 10 Pin), 0.050" (1.27mm) Pitch"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Gender"; Value = "Male"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Samtec"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer P/N"; Value = "FTSH-107-01-F-DV-K"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Contacts"; Value = "14"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Rows"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Orientation"; Value = "Vertical"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "P/N"; Value = "STDC14-Debug"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pitch"; Value = "0.050""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 2"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 3"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "SAM13170TR-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 2"; Value = "612-FTSH-107-01-F-DV-K-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 3"; Value = "FTSH-107-01-F-DV-K-P-ND"; VariantName = "[No Variations]"
Added Component: Designator=J3(70543-0109)
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer Website"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.molex.com"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "Component Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "http://www.molex.com/pdm_docs/sd/705430106_sd.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3Description"; Value = "Octopart Link"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3URL"; Value = "http://octopart.com/partsearch/#search/requestData&q=70543-0109"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink4Description"; Value = "Product Page"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink4URL"; Value = "http://www.molex.com/molex/products/datasheet.jsp?part=active/0705430109_PCB_HEADERS.xml"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Finish"; Value = "0.76um Gold"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Description in Visual"; Value = "Con Hdr Male 5contacts vertical 1X5"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Gender"; Value = "Male"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Molex"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer P/N"; Value = "70543-0109"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Contacts"; Value = "5"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Rows"; Value = "1.00"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Options"; Value = "shrouded with latch"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Orientation"; Value = "vertical"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "P/N"; Value = "70543-0109"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PCB Package"; Value = "NON-STD TH"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Pitch"; Value = "0.100in"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "WM4125-ND"; VariantName = "[No Variations]"
Added Component: Designator=QN1(SOT363)
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer Website"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.nxp.com"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "Component Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "http://www.nxp.com/documents/data_sheet/2N7002PS.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3Description"; Value = "Octopart Link"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3URL"; Value = "http://octopart.com/partsearch/#search/requestData&q=2N7002PS,115"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Configuration"; Value = "Dual N-Channel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Description in Visual"; Value = "MOSFET Array SMT Dual N-Ch FET SOT363"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ID (mA)"; Value = "320"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "NXP Semiconductors"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer P/N"; Value = "2N7002PS,115"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "P/N"; Value = "2N7002PS,115"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PCB Package"; Value = "SOT363"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "VDSS (V)"; Value = "60"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "VGSS (V)"; Value = "+/-20"; VariantName = "[No Variations]"
Added Component: Designator=R6(0603_RES)
Add component (AddParameter): Name = "Description in Visual"; Value = "Res SMT 68 0603  1%  0.1W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Various"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer P/N"; Value = "Various"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "P/N"; Value = "RES 0603 68 1%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PCB Package"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power_Rating"; Value = "0.1W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tol"; Value = "1%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Val"; Value = "68"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "68"; VariantName = "[No Variations]"
Added Component: Designator=R7(0603_RES)
Add component (AddParameter): Name = "Description in Visual"; Value = "Res SMT 10K 0603  1%  0.1W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Various"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer P/N"; Value = "Various"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "P/N"; Value = "RES 0603 10K 1%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PCB Package"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power_Rating"; Value = "0.1W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 2"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 3"; Value = "Newark"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 4"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "P10.0KHCT-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 2"; Value = "541-10.0KHCT-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 3"; Value = "68R0128"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 4"; Value = "A106048CT-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tol"; Value = "1%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Val"; Value = "10K"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "10K"; VariantName = "[No Variations]"
Added Component: Designator=R8(0603_RES)
Add component (AddParameter): Name = "Description in Visual"; Value = "Res SMT 10K 0603  1%  0.1W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Various"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer P/N"; Value = "Various"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "P/N"; Value = "RES 0603 10K 1%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PCB Package"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power_Rating"; Value = "0.1W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 2"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 3"; Value = "Newark"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 4"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "P10.0KHCT-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 2"; Value = "541-10.0KHCT-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 3"; Value = "68R0128"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 4"; Value = "A106048CT-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tol"; Value = "1%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Val"; Value = "10K"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "10K"; VariantName = "[No Variations]"
Added Component: Designator=R9(0603_RES)
Add component (AddParameter): Name = "Description in Visual"; Value = "Res SMT 1K 0603  1%  0.1W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Various"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer P/N"; Value = "Various"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "P/N"; Value = "RES 0603 1K 1%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PCB Package"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power_Rating"; Value = "0.1W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 2"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 3"; Value = "RSComponents"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 4"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "2019-RK73H1JTTD1001FCT-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 2"; Value = "541-1166-1-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 3"; Value = "1051155"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 4"; Value = "311-1.00KHRCT-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tol"; Value = "1%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Val"; Value = "1K"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "1K"; VariantName = "[No Variations]"
Added Component: Designator=R10(0603_RES)
Add component (AddParameter): Name = "Description in Visual"; Value = "Res SMT 10K 0603  1%  0.1W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Various"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer P/N"; Value = "Various"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "P/N"; Value = "RES 0603 10K 1%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "PCB Package"; Value = "0603"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power_Rating"; Value = "0.1W"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 2"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 3"; Value = "Newark"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 4"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "P10.0KHCT-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 2"; Value = "541-10.0KHCT-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 3"; Value = "68R0128"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 4"; Value = "A106048CT-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tol"; Value = "1%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Val"; Value = "10K"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Value"; Value = "10K"; VariantName = "[No Variations]"
Added Component: Designator=SW2(CHS-02TA)
Add component (AddParameter): Name = "Actuator Height"; Value = "Recessed"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "Manufacturer's Website"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "Component Datasheet"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink4Description"; Value = "Octopart Link"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Material"; Value = "Copper Alloy"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Electrical Life"; Value = "2000 Cycles"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Nidec Copal Electronics"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "CHS-02TA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mounting Style"; Value = "SMD J-Lead"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Switches"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "P/N"; Value = "CHS-02TA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Rated Current (A)"; Value = "100mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Rated Voltage (V)"; Value = "6VDC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "563-1005-1-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Switch Function"; Value = "Off-On"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Range"; Value = "-40°C ~ 85°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Throw Configuration"; Value = "2xSPST"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Type"; Value = "DIP"; VariantName = "[No Variations]"
Added Component: Designator=U2(FP-419A-02-MFG)
Add component (AddParameter): Name = "Ambient Temperature Range High"; Value = "+125°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Ambient Temperature Range Low"; Value = "-55°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Automotive"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Category"; Value = "IC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "Datasheet"; VariantName = "[No Variations]"
